"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40","Create new course","tests.courses","Fri Jan 16 07:20:28 UTC 2026","passed","Fri Jan 16 07:20:28 UTC 2026","TestCourses","test_courses","",""
"","20","Get list of exercises","tests.exercises","Fri Jan 16 07:20:32 UTC 2026","passed","Fri Jan 16 07:20:32 UTC 2026","TestExercises","test_exercises","",""
"","579","Create file","tests.files","Fri Jan 16 07:20:32 UTC 2026","passed","Fri Jan 16 07:20:32 UTC 2026","TestFiles","test_files","",""
"","23","Get exercise by id","tests.exercises","Fri Jan 16 07:20:30 UTC 2026","passed","Fri Jan 16 07:20:30 UTC 2026","TestExercises","test_exercises","",""
"","261","Create file with empty directory","tests.files","Fri Jan 16 07:20:34 UTC 2026","passed","Fri Jan 16 07:20:35 UTC 2026","TestFiles","test_files","",""
"","284","Get file","tests.files","Fri Jan 16 07:20:32 UTC 2026","passed","Fri Jan 16 07:20:33 UTC 2026","TestFiles","test_files","",""
"","31","Get list of courses","tests.courses","Fri Jan 16 07:20:27 UTC 2026","passed","Fri Jan 16 07:20:27 UTC 2026","TestCourses","test_courses","",""
"","267","Create file with incorrect file id","tests.files","Fri Jan 16 07:20:35 UTC 2026","passed","Fri Jan 16 07:20:35 UTC 2026","TestFiles","test_files","",""
"","23","Create new exercise","tests.exercises","Fri Jan 16 07:20:29 UTC 2026","passed","Fri Jan 16 07:20:29 UTC 2026","TestExercises","test_exercises","",""
"","560","Create user","tests.users","Fri Jan 16 07:20:35 UTC 2026","passed","Fri Jan 16 07:20:36 UTC 2026","TestUsers","test_users","",""
"","294","Update exercise","tests.exercises","Fri Jan 16 07:20:30 UTC 2026","passed","Fri Jan 16 07:20:30 UTC 2026","TestExercises","test_exercises","",""
"","13","Get user me","tests.users","Fri Jan 16 07:20:36 UTC 2026","passed","Fri Jan 16 07:20:36 UTC 2026","TestUsers","test_users","",""
"","288","Login with correct email and password","tests.authentication","Fri Jan 16 07:20:26 UTC 2026","passed","Fri Jan 16 07:20:27 UTC 2026","TestAuthentication","test_authentication","",""
"","294","Delete exercise","tests.exercises","Fri Jan 16 07:20:31 UTC 2026","passed","Fri Jan 16 07:20:31 UTC 2026","TestExercises","test_exercises","",""
"","289","Create user","tests.users","Fri Jan 16 07:20:35 UTC 2026","passed","Fri Jan 16 07:20:36 UTC 2026","TestUsers","test_users","",""
"","262","Create file with empty filename","tests.files","Fri Jan 16 07:20:34 UTC 2026","passed","Fri Jan 16 07:20:34 UTC 2026","TestFiles","test_files","",""
"","25","Delete file","tests.files","Fri Jan 16 07:20:33 UTC 2026","passed","Fri Jan 16 07:20:33 UTC 2026","TestFiles","test_files","",""
"","41","Update course","tests.courses","Fri Jan 16 07:20:28 UTC 2026","passed","Fri Jan 16 07:20:28 UTC 2026","TestCourses","test_courses","",""
"","562","Create user","tests.users","Fri Jan 16 07:20:35 UTC 2026","passed","Fri Jan 16 07:20:35 UTC 2026","TestUsers","test_users","",""
